timestamp,label,git_hash,total_code_lines,svelte_lines,ts_lines,js_lines,css_lines,doc_words,doc_lines,total_files,directories,estimated_tokens,commits
2025-12-04_00-00-00,commit-1,9f40d66,36773,20750,5098,8837,2088,143314,35832,360,174,529806,1
2025-12-05_00-00-00,commit-20,38fb426,38418,20566,5292,9959,2601,140057,34921,400,181,533657,20
2025-12-06_00-00-00,commit-16,ce3c4d1,42905,22807,7120,10247,2731,151010,38884,444,208,590706,16
2025-12-06_00-00-00,commit-61,5af6bb0,44119,23484,7490,10414,2731,151665,38986,445,209,600480,61
2025-12-07_00-00-00,commit-81,aa494aa,44677,23895,7589,10462,2731,153831,39449,447,209,610063,81
2025-12-09_00-00-00,commit-101,e87141a,47690,24477,9983,10491,2739,156979,40131,464,218,639349,101
2025-12-10_00-00-00,commit-121,c777608,48029,24320,10465,10505,2739,172486,43264,484,226,670740,121
2025-12-13_00-00-00,commit-141,930ec27,50255,26129,10555,10506,3065,164593,39702,493,237,673087,141
2025-12-13_00-00-00,current,3150aa2,50405,26210,10555,10575,3065,174202,42884,499,239,705809,144
2025-12-16_18-51-09,v0.6.0,08aee3b,217738,39073,22622,149993,6050,192846,45237,1980,745,3217078,290
2025-12-16_18-51-35,v0.6.1,acec35e,222373,39459,26860,150004,6050,207827,48967,1995,749,3278924,299
2025-12-16_18-51-55,v0.6.2,49ae3fc,225890,39459,29848,150308,6275,208658,49189,2009,757,3521516,305
